datetime,packet_count_sum,total_bytes_sum
2025-09-02 17:22:00,157531,7149592
2025-09-02 17:22:10,111776,5129640
2025-09-02 17:22:20,92143,4256352
2025-09-02 17:22:30,76524,3502176
2025-09-02 17:22:40,82382,3842732
2025-09-02 17:22:50,86263,4033492
2025-09-02 17:23:00,88337,4196292
2025-09-02 17:23:10,83229,3944208
2025-09-02 17:23:20,68047,3106448
2025-09-02 17:23:30,55919,2634616
2025-09-02 17:23:40,100591,4674516
2025-09-02 17:23:50,135555,6761032
2025-09-02 17:24:00,63948,3068096
2025-09-02 17:24:10,82874,4032232
2025-09-02 17:24:20,51096,2425204
2025-09-02 17:24:30,43288,1996252
2025-09-02 17:24:40,41056,1851012
2025-09-02 17:24:50,52318,2439036
2025-09-02 17:25:00,45112,2138780
2025-09-02 17:25:10,44761,2062708
2025-09-02 17:25:20,42712,2000756
2025-09-02 17:25:30,41270,1890056
2025-09-02 17:25:40,38023,1754808
2025-09-02 17:25:50,45673,2147376
2025-09-02 17:26:00,42467,1996200
2025-09-02 17:26:10,38218,1792476
2025-09-02 17:26:20,40698,1870884
2025-09-02 17:26:30,34683,1580132
2025-09-02 17:26:40,26946,1200996
2025-09-02 17:26:50,32771,1518044
2025-09-02 17:27:00,25374,1134368
2025-09-02 17:27:10,24850,1121888
2025-09-02 17:27:20,14607,627564
2025-09-02 17:27:30,1707156,65722212
2025-09-02 17:27:40,980214,40713428
2025-09-02 17:27:50,265722,11762032
2025-09-02 17:28:00,158943,7223388
2025-09-02 17:28:10,111545,5008620
2025-09-02 17:28:20,113812,5213468
2025-09-02 17:28:30,98160,4466736
2025-09-02 17:28:40,84073,3821068
2025-09-02 17:28:50,110655,5155160
2025-09-02 17:29:00,72616,3301312
2025-09-02 17:29:10,69660,3136120
2025-09-02 17:29:20,71996,3296040
2025-09-02 17:29:30,55013,2561492
2025-09-02 17:29:40,80662,3838456
2025-09-02 17:29:50,53510,2486860
2025-09-02 17:30:00,73387,3532056
2025-09-02 17:30:10,56858,2636992
2025-09-02 17:30:20,62459,2959304
2025-09-02 17:30:30,53811,2522316
2025-09-02 17:30:40,71275,3365068
2025-09-02 17:30:50,48176,2277916
2025-09-02 17:31:00,60974,2856624
2025-09-02 17:31:10,57186,2649484
2025-09-02 17:31:20,46114,2115800
2025-09-02 17:31:30,42169,1966152
2025-09-02 17:31:40,48757,2262928
2025-09-02 17:31:50,39094,1794080
2025-09-02 17:32:00,42858,1977540
2025-09-02 17:32:10,43179,1998624
2025-09-02 17:32:20,34280,1565624
2025-09-02 17:32:30,35862,1647484
2025-09-02 17:32:40,37675,1738472
2025-09-02 17:32:50,33875,1548848
2025-09-02 17:33:00,31699,1441064
2025-09-02 17:33:10,21864,970896
2025-09-02 17:33:20,21499,968524
2025-09-02 17:33:30,5773,246032
2025-09-02 17:33:40,2543583,101856592
2025-09-02 17:33:50,336777,14355280
2025-09-02 17:34:00,182989,8358288
2025-09-02 17:34:10,165231,7758828
2025-09-02 17:34:20,117495,5489836
2025-09-02 17:34:30,97011,4448664
2025-09-02 17:34:40,98901,4588132
2025-09-02 17:34:50,77437,3532884
2025-09-02 17:35:00,79373,3660716
2025-09-02 17:35:10,80100,3635156
2025-09-02 17:35:20,65445,3002292
2025-09-02 17:35:30,72276,3380396
2025-09-02 17:35:40,60572,2844556
2025-09-02 17:35:50,63865,3010040
2025-09-02 17:36:00,74298,3359436
2025-09-02 17:36:10,64007,3045688
2025-09-02 17:36:20,53839,2475860
2025-09-02 17:36:30,54756,2586584
2025-09-02 17:36:40,62600,2863780
2025-09-02 17:36:50,42786,1988664
2025-09-02 17:37:00,52261,2472888
2025-09-02 17:37:10,52456,2489332
2025-09-02 17:37:20,48526,2245912
2025-09-02 17:37:30,53386,2486764
2025-09-02 17:37:40,41406,1891076
2025-09-02 17:37:50,37234,1733360
2025-09-02 17:38:00,47428,2229752
2025-09-02 17:38:10,37781,1740252
2025-09-02 17:38:20,38437,1790128
2025-09-02 17:38:30,39707,1844864
2025-09-02 17:38:40,36248,1684572
2025-09-02 17:38:50,31300,1422980
2025-09-02 17:39:00,30457,1383432
2025-09-02 17:39:10,25536,1140628
2025-09-02 17:39:20,21572,963852
2025-09-02 17:39:30,12924,561180
2025-09-02 17:39:40,2173158,85163416
2025-09-02 17:39:50,567933,23843560
2025-09-02 17:40:00,241803,10857028
2025-09-02 17:40:10,145386,6672172
2025-09-02 17:40:20,126137,5716028
2025-09-02 17:40:30,107663,4776324
2025-09-02 17:40:40,88770,4054304
2025-09-02 17:40:50,80710,3770740
2025-09-02 17:41:00,103920,4957832
2025-09-02 17:41:10,66394,3026932
2025-09-02 17:41:20,97717,4358872
2025-09-02 17:41:30,53828,2445604
2025-09-02 17:41:40,69809,3318804
2025-09-02 17:41:50,67232,3182096
2025-09-02 17:42:00,79580,3815560
2025-09-02 17:42:10,56894,2706836
2025-09-02 17:42:20,53699,2535624
2025-09-02 17:42:30,46269,2122860
2025-09-02 17:42:40,59124,2747228
2025-09-02 17:42:50,56879,2623484
2025-09-02 17:43:00,54788,2590896
2025-09-02 17:43:10,52215,2427980
2025-09-02 17:43:20,48582,2221728
2025-09-02 17:43:30,44291,2034348
2025-09-02 17:43:40,41919,1884652
2025-09-02 17:43:50,51027,2360812
2025-09-02 17:44:00,43543,1968944
2025-09-02 17:44:10,43013,1985884
2025-09-02 17:44:20,40427,1805796
2025-09-02 17:44:30,46737,2152592
2025-09-02 17:44:40,45831,2059904
